id,name,state,summit,vertical_drop,base,trams,fast_eights,fast_sixes,fast_quads,quad,triple,double,surface,total,runs,terrain_parks,longest_run,skiable_terrain,snow_making,days_open_last_year,projected_days_open,night_skiing,mi_night_skiing,mi_pistes,mi_snow_making,years_open,average_snowfall,url
1,Alyeska Resort,alaska,3939,2500,250,1,0,0,2,2,0,0,2,7,76,2,1,1610,113,150,150,1,550,,,60,669,http://www.onthesnow.com/alaska/alyeska-resort/ski-resort.html
2,Eaglecrest Ski Area,alaska,2600,1540,1200,0,0,0,0,0,0,4,0,4,36,1,2,640,60,45,90,1,,,,44,350,http://www.onthesnow.com/alaska/eaglecrest-ski-area/ski-resort.html
3,Hilltop Ski Area,alaska,2090,294,1796,0,0,0,0,0,1,0,2,3,13,1,1,30,30,150,152,1,30,,,36,69,http://www.onthesnow.com/alaska/hilltop-ski-area/ski-resort.html
4,Arizona Snowbowl,arizona,11500,2300,9200,0,0,1,0,2,2,1,2,8,55,4,2,777,104,122,122,0,,,,81,260,http://www.onthesnow.com/arizona/arizona-snowbowl/ski-resort.html
5,Sunrise Park Resort,arizona,11100,1800,9200,0,0,0,1,2,3,1,0,7,65,2,1.2,800,80,115,104,1,80,,,49,250,http://www.onthesnow.com/arizona/sunrise-park-resort/ski-resort.html
6,Yosemite Ski & Snowboard Area,california,7800,600,7200,0,0,0,0,0,1,3,1,5,10,2,0.4,88,0,110,107,0,,,,84,300,http://www.onthesnow.com/california/badger-pass/ski-resort.html
7,Bear Mountain,california,8805,1665,7140,0,0,0,2,1,2,3,4,12,27,14,1.5,198,198,122,130,1,,,,76,100,http://www.onthesnow.com/california/bear-mountain/ski-resort.html
8,Bear Valley,california,8500,1900,6600,0,0,1,1,0,2,4,2,10,67,2,1.2,1680,100,165,151,0,,,,52,359,http://www.onthesnow.com/california/bear-valley/ski-resort.html
9,Boreal Mountain Resort,california,7700,500,7200,0,0,0,1,1,3,1,2,8,33,6,1,380,200,150,150,1,200,,,54,400,http://www.onthesnow.com/california/boreal/ski-resort.html
10,Dodge Ridge,california,8200,1600,6600,0,0,0,0,1,2,5,4,12,67,5,2,862,0,,140,0,,,,69,350,http://www.onthesnow.com/california/dodge-ridge/ski-resort.html
